Vessel,Days,horus,1176,1152,1128,1104,1080,1056,1032,1008,984,960,936,912,888,864,840,816,792,768,744,720,696,672,648,624,600,576,552,528,504,480,456,432,408,384,360,336,312,288,264,240,216,192,168,144,120,96,72,48,24,
10:06A,23,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6,-1.4,-0.6,0.7,1,2.3,4.1,7.1,7.7,12.3,13.8,18.8,19.9,21.3,21.5,15
10:07A,15,360,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,-1.9,-1.9,-1.7,-1.2,-0.6,-0.2,0.1,0.9,1.6,2.2,3.2,3.5,4.6,5.7,7.6,8.1,10.7,11.6,15,16.3,13.8,20.9,23
10:08A,28,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-1.1,-0.7,-0.7,0,-0.3,0.5,0.7,1.8,3.1,7.3,8.9,13.8,19.4,14
10:09A,33,792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,3,21.9,22.3,22.8,,,,,,,,,,,,,,,,5
10:10B,9,216,,,,,,,,,,,-1.8,-1.6,-1.4,-1.3,-1,-0.6,-0.4,-0.2,0.1,0.3,0.6,1,1.4,1.7,1.8,2.4,2.9,3.2,3.8,4.3,4.9,6,7.2,8.5,9.4,10.7,12.1,13.5,15,16.7,18.9,21.1,20.4,22.1,22.1,,,,,35
10:11B,16,384,,,,,,,,,,,,,,,,,,-0.7,-0.3,0.1,0.6,1.3,1.7,2,2.4,3.3,4,4.5,5.2,5.3,2.2,7.2,8,9.3,10.3,11.8,13.3,15.9,16.4,18.9,20.9,,,,,,,,,24
10:12B,3,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,5,6,,8.6,10.3,12.7,15.8,14.7,,,,,,,8
10:13B,25,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,-1.6,-0.9,-0.3,0.7,1.5,2.2,2.9,3.7,4.1,4.5,5.1,5.9,6.4,8.1,8.8,11.9,13.6,17.4,21,20
10:14B,15,360,,,,,,,,,,,,,,,,,-1.5,-1.2,-1,-0.3,0.3,1.1,1.8,2.7,2.8,4.5,5.5,6.8,8.2,9.4,11.3,14.1,15.5,18.5,20.3,21.3,,,,,,,,,,,,,,20
10:14B,43,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9,,,,0.2,,,,,,,,,2
12:02D,25,600,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.8,-0.7,0.2,0.5,0.5,1.8,8.8,4.9,7.4,10.6,15,19.5,20.2,,,,,,,,,,,13
